file,engine,original_bytes,compressed_bytes,ratio,compress_ms,decompress_ms,compress_mbs,decompress_mbs,peak_memory_bytes,lossless
bench-corpus\data.json,Zstd,31502,325,96.9292,0.274,0.243,109.63,123.82,63329,true
bench-corpus\data.json,Brotli,31502,295,106.7864,0.616,0.247,48.76,121.53,63299,true
bench-corpus\data.json,Gzip,31502,309,101.9482,0.459,0.256,65.45,117.48,63313,true
bench-corpus\data.json,Lzma,31502,828,38.0459,0.263,0.236,114.06,127.12,63832,true
bench-corpus\data.json,Raw,31502,31514,0.9996,0.037,0.001,822.34,30042.65,94518,true
bench-corpus\data.json,gzip-9,31502,352,89.4943,0.157,0.038,191.72,791.30,63356,true
bench-corpus\data.json,zstd-3,31502,186,169.3656,0.182,0.031,165.10,972.25,63190,true
bench-corpus\data.json,brotli-11,31502,170,185.3059,2.363,0.070,12.71,426.54,63174,true
bench-corpus\data.json,lzma-6,31502,16380,1.9232,0.587,0.744,51.21,40.41,79384,true
bench-corpus\example.rs,Zstd,12552,186,67.4839,0.050,0.019,237.20,632.26,25290,true
bench-corpus\example.rs,Brotli,12552,176,71.3182,0.340,0.018,35.16,671.26,25280,true
bench-corpus\example.rs,Gzip,12552,262,47.9084,0.145,0.009,82.38,1355.20,25366,true
bench-corpus\example.rs,Lzma,12552,12616,0.9949,0.042,0.005,282.77,2426.62,37720,true
bench-corpus\example.rs,Raw,12552,12564,0.9990,0.013,0.000,927.95,32706.34,37668,true
bench-corpus\example.rs,gzip-9,12552,250,50.2080,0.130,0.018,92.32,677.60,25354,true
bench-corpus\example.rs,zstd-3,12552,173,72.5549,0.191,0.023,62.59,515.24,25277,true
bench-corpus\example.rs,brotli-11,12552,159,78.9434,1.476,0.017,8.11,711.13,25263,true
bench-corpus\example.rs,lzma-6,12552,6399,1.9616,0.289,0.306,41.38,39.08,31503,true
bench-corpus\large-code.rs,Zstd,260002,484,537.1942,2.404,2.102,103.14,117.94,520488,true
bench-corpus\large-code.rs,Brotli,260002,453,573.9558,3.050,2.353,81.29,105.38,520457,true
bench-corpus\large-code.rs,Gzip,260002,478,543.9372,2.815,2.463,88.08,100.66,520482,true
bench-corpus\large-code.rs,Lzma,260002,5232,49.6946,2.539,2.427,97.67,102.15,525236,true
bench-corpus\large-code.rs,Raw,260002,260014,1.0000,0.401,0.104,617.94,2387.28,780018,true
bench-corpus\large-code.rs,gzip-9,260002,1597,162.8065,0.450,0.170,550.81,1461.73,521601,true
bench-corpus\large-code.rs,zstd-3,260002,322,807.4596,0.277,0.206,896.45,1200.96,520326,true
bench-corpus\large-code.rs,brotli-11,260002,267,973.7903,11.905,0.369,20.83,672.82,520271,true
bench-corpus\large-code.rs,lzma-6,260002,135096,1.9246,5.947,7.053,41.69,35.15,655100,true
bench-corpus\large-data.json,Zstd,706510,45873,15.4014,14.744,5.610,45.70,120.11,1458893,true
bench-corpus\large-data.json,Brotli,706510,37413,18.8841,23.118,6.035,29.14,111.64,1450433,true
bench-corpus\large-data.json,Gzip,706510,48367,14.6073,26.801,5.618,25.14,119.93,1461387,true
bench-corpus\large-data.json,Lzma,706510,183284,3.8547,12.600,5.692,53.47,118.37,1596304,true
bench-corpus\large-data.json,Raw,706510,706522,1.0000,0.927,0.253,727.21,2665.98,2119542,true
bench-corpus\large-data.json,gzip-9,706510,68460,10.3200,15.152,0.735,44.47,916.58,1481480,true
bench-corpus\large-data.json,zstd-3,706510,46053,15.3412,1.146,0.773,587.80,871.57,1459073,true
bench-corpus\large-data.json,brotli-11,706510,32672,21.6243,733.239,0.848,0.92,794.80,1445692,true
bench-corpus\large-data.json,lzma-6,706510,372160,1.8984,12.238,15.296,55.06,44.05,1785180,true
bench-corpus\large-metrics.csv,Zstd,1494843,478428,3.1245,6.921,2.041,205.98,698.47,3468114,true
bench-corpus\large-metrics.csv,Brotli,1494843,441451,3.3862,98.485,3.895,14.48,366.03,3431137,true
bench-corpus\large-metrics.csv,Gzip,1494843,454028,3.2924,108.541,3.815,13.13,373.71,3443714,true
bench-corpus\large-metrics.csv,Lzma,1494843,1494976,0.9999,1.850,1.181,770.48,1207.11,4484662,true
bench-corpus\large-metrics.csv,Raw,1494843,1494855,1.0000,1.586,0.548,898.69,2600.82,4484541,true
