file,engine,original_bytes,compressed_bytes,ratio,compress_ms,decompress_ms,compress_mbs,decompress_mbs,peak_memory_bytes,lossless
bench-corpus\data.json,Zstd,31502,325,96.9292,0.275,0.247,109.29,121.82,63329,true
bench-corpus\data.json,Brotli,31502,295,106.7864,0.618,0.246,48.64,122.10,63299,true
bench-corpus\data.json,Gzip,31502,309,101.9482,0.356,0.251,84.45,119.88,63313,true
bench-corpus\data.json,Lzma,31502,828,38.0459,0.256,0.234,117.30,128.55,63832,true
bench-corpus\data.json,Raw,31502,31514,0.9996,0.046,0.015,659.41,1994.86,94518,true
bench-corpus\data.json,gzip-9,31502,352,89.4943,0.141,0.043,212.47,691.11,63356,true
bench-corpus\data.json,zstd-3,31502,186,169.3656,0.219,0.027,137.41,1115.17,63190,true
bench-corpus\data.json,brotli-11,31502,170,185.3059,1.992,0.047,15.08,635.42,63174,true
bench-corpus\data.json,lzma-6,31502,16380,1.9232,0.484,0.638,62.04,47.12,79384,true
bench-corpus\example.rs,Zstd,12552,186,67.4839,0.082,0.025,145.93,486.80,25290,true
bench-corpus\example.rs,Brotli,12552,176,71.3182,0.288,0.032,41.58,378.34,25280,true
bench-corpus\example.rs,Gzip,12552,262,47.9084,0.132,0.010,90.81,1254.77,25366,true
bench-corpus\example.rs,Lzma,12552,12616,0.9949,0.043,0.004,280.08,3217.88,37720,true
bench-corpus\example.rs,Raw,12552,12564,0.9990,0.011,0.000,1046.37,49877.17,37668,true
bench-corpus\example.rs,gzip-9,12552,250,50.2080,0.112,0.017,106.73,724.17,25354,true
bench-corpus\example.rs,zstd-3,12552,173,72.5549,0.206,0.023,58.05,530.37,25277,true
bench-corpus\example.rs,brotli-11,12552,159,78.9434,1.286,0.018,9.31,653.06,25263,true
bench-corpus\example.rs,lzma-6,12552,6399,1.9616,0.199,0.260,60.15,45.97,31503,true
bench-corpus\large-code.rs,Zstd,260002,484,537.1942,2.140,1.897,115.84,130.73,520488,true
bench-corpus\large-code.rs,Brotli,260002,453,573.9558,2.520,1.930,98.39,128.49,520457,true
bench-corpus\large-code.rs,Gzip,260002,478,543.9372,2.096,1.903,118.29,130.29,520482,true
bench-corpus\large-code.rs,Lzma,260002,5232,49.6946,1.985,1.926,124.95,128.75,525236,true
bench-corpus\large-code.rs,Raw,260002,260014,1.0000,0.351,0.101,705.77,2459.89,780018,true
bench-corpus\large-code.rs,gzip-9,260002,1597,162.8065,0.341,0.118,728.09,2098.49,521601,true
bench-corpus\large-code.rs,zstd-3,260002,322,807.4596,0.307,0.222,806.44,1117.83,520326,true
bench-corpus\large-code.rs,brotli-11,260002,267,973.7903,10.113,0.276,24.52,898.10,520271,true
bench-corpus\large-code.rs,lzma-6,260002,135096,1.9246,4.372,6.054,56.72,40.96,655100,true
bench-corpus\large-data.json,Zstd,706510,45873,15.4014,12.037,5.101,55.98,132.10,1458893,true
bench-corpus\large-data.json,Brotli,706510,37413,18.8841,22.653,5.615,29.74,120.00,1450433,true
bench-corpus\large-data.json,Gzip,706510,48367,14.6073,24.346,5.410,27.68,124.54,1461387,true
bench-corpus\large-data.json,Lzma,706510,183284,3.8547,11.609,4.983,58.04,135.21,1596304,true
bench-corpus\large-data.json,Raw,706510,706522,1.0000,0.854,0.173,788.77,3887.05,2119542,true
bench-corpus\large-data.json,gzip-9,706510,68460,10.3200,12.668,0.622,53.19,1083.18,1481480,true
bench-corpus\large-data.json,zstd-3,706510,46053,15.3412,0.891,0.730,756.35,923.53,1459073,true
bench-corpus\large-data.json,brotli-11,706510,32672,21.6243,733.780,0.893,0.92,754.69,1445692,true
bench-corpus\large-data.json,lzma-6,706510,372160,1.8984,13.021,17.479,51.75,38.55,1785180,true
bench-corpus\large-metrics.csv,Zstd,1494843,478428,3.1245,7.001,2.347,203.63,607.47,3468114,true
bench-corpus\large-metrics.csv,Brotli,1494843,441451,3.3862,110.028,5.199,12.96,274.22,3431137,true
bench-corpus\large-metrics.csv,Gzip,1494843,454028,3.2924,115.144,4.567,12.38,312.14,3443714,true
bench-corpus\large-metrics.csv,Lzma,1494843,1494976,0.9999,2.212,1.557,644.57,915.34,4484662,true
bench-corpus\large-metrics.csv,Raw,1494843,1494855,1.0000,1.916,0.920,743.94,1549.96,4484541,true
bench-corpus\large-metrics.csv,gzip-9,1494843,454016,3.2925,113.615,3.722,12.55,383.00,3443702,true
bench-corpus\large-metrics.csv,zstd-3,1494843,478413,3.1246,6.189,2.255,230.35,632.06,3468099,true
bench-corpus\large-metrics.csv,brotli-11,1494843,355647,4.2032,1789.403,5.115,0.80,278.71,3345333,true
bench-corpus\large-metrics.csv,lzma-6,1494843,722952,2.0677,27.328,39.967,52.17,35.67,3712638,true
bench-corpus\large-server.log,Zstd,3654217,533621,6.8480,95.304,28.697,36.57,121.44,7842055,true
bench-corpus\large-server.log,Brotli,3654217,487298,7.4989,181.500,32.366,19.20,107.67,7795732,true
bench-corpus\large-server.log,Gzip,3654217,529235,6.9047,277.388,31.157,12.56,111.85,7837669,true
bench-corpus\large-server.log,Lzma,3654217,1425208,2.5640,81.751,28.370,42.63,122.84,8733642,true
bench-corpus\large-server.log,Raw,3654217,3654229,1.0000,3.939,1.204,884.62,2893.57,10962663,true
bench-corpus\large-server.log,gzip-9,3654217,456530,8.0043,89.108,4.277,39.11,814.74,7764964,true
bench-corpus\large-server.log,zstd-3,3654217,501168,7.2914,5.566,3.655,626.15,953.51,7809602,true
bench-corpus\large-server.log,brotli-11,3654217,328453,11.1255,4557.212,5.593,0.76,623.09,7636887,true
bench-corpus\large-server.log,lzma-6,3654217,1941297,1.8824,67.209,91.759,51.85,37.98,9249731,true
bench-corpus\metrics.csv,Zstd,37182,2662,13.9677,0.080,0.039,443.02,902.05,77026,true
bench-corpus\metrics.csv,Brotli,37182,2625,14.1646,2.736,0.054,12.96,659.34,76989,true
bench-corpus\metrics.csv,Gzip,37182,5242,7.0931,0.839,0.032,42.27,1099.52,79606,true
bench-corpus\metrics.csv,Lzma,37182,37248,0.9982,0.031,0.007,1135.43,5332.26,111612,true
bench-corpus\metrics.csv,Raw,37182,37194,0.9997,0.027,0.001,1290.38,26462.33,111558,true
bench-corpus\metrics.csv,gzip-9,37182,5230,7.1094,0.803,0.034,44.14,1054.72,79594,true
bench-corpus\metrics.csv,zstd-3,37182,2649,14.0362,0.225,0.041,157.70,871.03,77013,true
bench-corpus\metrics.csv,brotli-11,37182,2360,15.7551,28.431,0.061,1.25,577.99,76724,true
bench-corpus\metrics.csv,lzma-6,37182,16405,2.2665,0.581,0.771,60.99,46.01,90769,true
bench-corpus\server.log,Zstd,50734,1412,35.9306,0.798,0.423,60.65,114.35,102880,true
bench-corpus\server.log,Brotli,50734,1197,42.3843,1.982,0.401,24.41,120.75,102665,true
bench-corpus\server.log,Gzip,50734,1883,26.9432,0.910,0.412,53.17,117.40,103351,true
bench-corpus\server.log,Lzma,50734,10336,4.9085,0.740,0.391,65.38,123.74,111804,true
bench-corpus\server.log,Raw,50734,50746,0.9998,0.043,0.004,1125.20,11917.17,152214,true
bench-corpus\server.log,gzip-9,50734,3162,16.0449,0.278,0.024,173.80,2015.15,104630,true
bench-corpus\server.log,zstd-3,50734,1613,31.4532,0.215,0.037,225.08,1297.15,103081,true
bench-corpus\server.log,brotli-11,50734,1221,41.5512,47.904,0.055,1.01,875.72,102689,true
bench-corpus\server.log,lzma-6,50734,25839,1.9635,0.861,1.107,56.18,43.72,127307,true
bench-corpus\text-repeated.txt,Zstd,45002,79,569.6456,0.074,0.029,578.71,1486.57,90083,true
bench-corpus\text-repeated.txt,Brotli,45002,70,642.8857,0.227,0.054,189.20,799.80,90074,true
bench-corpus\text-repeated.txt,Gzip,45002,226,199.1239,0.140,0.022,306.25,1981.41,90230,true
bench-corpus\text-repeated.txt,Lzma,45002,45068,0.9985,0.073,0.008,587.67,5588.18,135072,true
bench-corpus\text-repeated.txt,Raw,45002,45014,0.9997,0.062,0.004,687.45,11758.15,135018,true
bench-corpus\text-repeated.txt,gzip-9,45002,214,210.2897,0.090,0.017,476.22,2586.93,90218,true
bench-corpus\text-repeated.txt,zstd-3,45002,66,681.8485,0.198,0.031,216.72,1380.86,90070,true
bench-corpus\text-repeated.txt,brotli-11,45002,63,714.3175,1.838,0.041,23.35,1043.45,90067,true
bench-corpus\text-repeated.txt,lzma-6,45002,22418,2.0074,0.578,0.713,74.29,60.22,112422,true
