file,engine,original_bytes,compressed_bytes,ratio,compress_ms,decompress_ms,compress_mbs,decompress_mbs,peak_memory_bytes,lossless
bench-corpus\data.json,Zstd,31502,325,96.9292,0.380,0.261,79.12,115.33,63329,true
bench-corpus\data.json,Brotli,31502,295,106.7864,0.762,0.255,39.44,118.00,63299,true
bench-corpus\data.json,Gzip,31502,309,101.9482,0.409,0.264,73.44,113.75,63313,true
bench-corpus\data.json,Lzma,31502,828,38.0459,0.261,0.251,114.97,119.88,63832,true
bench-corpus\data.json,Raw,31502,31514,0.9996,0.050,0.010,603.27,2861.20,94518,true
bench-corpus\data.json,gzip-9,31502,352,89.4943,0.155,0.053,193.82,571.15,63356,true
bench-corpus\data.json,zstd-3,31502,186,169.3656,0.188,0.063,159.97,476.87,63190,true
bench-corpus\data.json,brotli-11,31502,170,185.3059,2.305,0.072,13.03,414.38,63174,true
bench-corpus\data.json,lzma-6,31502,16380,1.9232,0.522,0.656,57.54,45.77,79384,true
bench-corpus\example.rs,Zstd,12552,186,67.4839,0.087,0.020,136.96,592.60,25290,true
bench-corpus\example.rs,Brotli,12552,176,71.3182,0.331,0.041,36.14,290.55,25280,true
bench-corpus\example.rs,Gzip,12552,262,47.9084,0.160,0.032,74.86,378.81,25366,true
bench-corpus\example.rs,Lzma,12552,12616,0.9949,0.050,0.006,237.98,1841.62,37720,true
bench-corpus\example.rs,Raw,12552,12564,0.9990,0.021,0.000,581.09,29926.30,37668,true
bench-corpus\example.rs,gzip-9,12552,250,50.2080,0.139,0.037,86.24,319.21,25354,true
bench-corpus\example.rs,zstd-3,12552,173,72.5549,0.204,0.027,58.74,450.02,25277,true
bench-corpus\example.rs,brotli-11,12552,159,78.9434,1.482,0.024,8.08,496.70,25263,true
bench-corpus\example.rs,lzma-6,12552,6399,1.9616,0.228,0.267,52.59,44.77,31503,true
bench-corpus\large-code.rs,Zstd,260002,484,537.1942,2.006,1.921,123.63,129.05,520488,true
bench-corpus\large-code.rs,Brotli,260002,453,573.9558,2.569,1.977,96.53,125.43,520457,true
bench-corpus\large-code.rs,Gzip,260002,478,543.9372,2.275,1.926,108.97,128.77,520482,true
bench-corpus\large-code.rs,Lzma,260002,5232,49.6946,2.050,1.963,120.95,126.31,525236,true
bench-corpus\large-code.rs,Raw,260002,260014,1.0000,0.338,0.065,734.04,3832.41,780018,true
bench-corpus\large-code.rs,gzip-9,260002,1597,162.8065,0.383,0.112,647.41,2209.96,521601,true
bench-corpus\large-code.rs,zstd-3,260002,322,807.4596,0.261,0.196,951.85,1263.80,520326,true
bench-corpus\large-code.rs,brotli-11,260002,267,973.7903,9.669,0.282,25.64,879.59,520271,true
bench-corpus\large-code.rs,lzma-6,260002,135096,1.9246,4.568,6.146,54.28,40.35,655100,true
bench-corpus\large-data.json,Zstd,706510,45873,15.4014,12.437,5.320,54.17,126.66,1458893,true
bench-corpus\large-data.json,Brotli,706510,37413,18.8841,21.852,5.827,30.83,115.64,1450433,true
bench-corpus\large-data.json,Gzip,706510,48367,14.6073,25.004,5.523,26.95,121.99,1461387,true
bench-corpus\large-data.json,Lzma,706510,183284,3.8547,11.936,5.314,56.45,126.78,1596304,true
bench-corpus\large-data.json,Raw,706510,706522,1.0000,0.814,0.247,827.64,2727.86,2119542,true
bench-corpus\large-data.json,gzip-9,706510,68460,10.3200,12.777,0.633,52.73,1063.75,1481480,true
bench-corpus\large-data.json,zstd-3,706510,46053,15.3412,0.835,0.568,807.12,1186.65,1459073,true
bench-corpus\large-data.json,brotli-11,706510,32672,21.6243,687.148,0.857,0.98,785.84,1445692,true
bench-corpus\large-data.json,lzma-6,706510,372160,1.8984,11.287,14.811,59.69,45.49,1785180,true
bench-corpus\large-metrics.csv,Zstd,1494843,478428,3.1245,5.732,1.703,248.71,837.11,3468114,true
bench-corpus\large-metrics.csv,Brotli,1494843,441451,3.3862,87.756,3.920,16.24,363.68,3431137,true
bench-corpus\large-metrics.csv,Gzip,1494843,454028,3.2924,98.516,3.976,14.47,358.56,3443714,true
bench-corpus\large-metrics.csv,Lzma,1494843,1494976,0.9999,1.968,1.398,724.28,1019.59,4484662,true
bench-corpus\large-metrics.csv,Raw,1494843,1494855,1.0000,1.575,0.522,905.25,2728.93,4484541,true
bench-corpus\large-metrics.csv,gzip-9,1494843,454016,3.2925,96.324,3.778,14.80,377.33,3443702,true
bench-corpus\large-metrics.csv,zstd-3,1494843,478413,3.1246,5.074,2.003,280.98,711.80,3468099,true
bench-corpus\large-metrics.csv,brotli-11,1494843,355647,4.2032,1648.372,4.340,0.86,328.45,3345333,true
bench-corpus\large-metrics.csv,lzma-6,1494843,722952,2.0677,25.854,36.169,55.14,39.42,3712638,true
bench-corpus\large-server.log,Zstd,3654217,533621,6.8480,88.128,29.496,39.54,118.15,7842055,true
bench-corpus\large-server.log,Brotli,3654217,487298,7.4989,185.094,33.701,18.83,103.41,7795732,true
bench-corpus\large-server.log,Gzip,3654217,529235,6.9047,290.915,32.249,11.98,108.06,7837669,true
bench-corpus\large-server.log,Lzma,3654217,1425208,2.5640,83.431,31.628,41.77,110.18,8733642,true
bench-corpus\large-server.log,Raw,3654217,3654229,1.0000,4.042,1.333,862.18,2613.57,10962663,true
bench-corpus\large-server.log,gzip-9,3654217,456530,8.0043,85.785,4.597,40.62,758.04,7764964,true
bench-corpus\large-server.log,zstd-3,3654217,501168,7.2914,6.011,3.768,579.75,925.00,7809602,true
bench-corpus\large-server.log,brotli-11,3654217,328453,11.1255,4453.628,5.975,0.78,583.27,7636887,true
bench-corpus\large-server.log,lzma-6,3654217,1941297,1.8824,74.852,95.284,46.56,36.57,9249731,true
bench-corpus\metrics.csv,Zstd,37182,2662,13.9677,0.209,0.050,169.50,713.47,77026,true
bench-corpus\metrics.csv,Brotli,37182,2625,14.1646,2.802,0.100,12.65,356.38,76989,true
bench-corpus\metrics.csv,Gzip,37182,5242,7.0931,0.886,0.091,40.02,391.82,79606,true
bench-corpus\metrics.csv,Lzma,37182,37248,0.9982,0.067,0.018,527.67,1959.09,111612,true
bench-corpus\metrics.csv,Raw,37182,37194,0.9997,0.055,0.010,647.07,3618.32,111558,true
bench-corpus\metrics.csv,gzip-9,37182,5230,7.1094,0.830,0.062,42.71,568.26,79594,true
bench-corpus\metrics.csv,zstd-3,37182,2649,14.0362,0.261,0.071,136.12,496.63,77013,true
bench-corpus\metrics.csv,brotli-11,37182,2360,15.7551,33.566,0.087,1.06,406.18,76724,true
bench-corpus\metrics.csv,lzma-6,37182,16405,2.2665,0.657,0.750,53.98,47.25,90769,true
bench-corpus\server.log,Zstd,50734,1412,35.9306,0.860,0.413,56.25,117.27,102880,true
bench-corpus\server.log,Brotli,50734,1197,42.3843,2.001,0.433,24.17,111.82,102665,true
bench-corpus\server.log,Gzip,50734,1883,26.9432,0.975,0.452,49.63,107.07,103351,true
bench-corpus\server.log,Lzma,50734,10336,4.9085,0.777,0.412,62.27,117.55,111804,true
bench-corpus\server.log,Raw,50734,50746,0.9998,0.074,0.002,657.39,30239.82,152214,true
bench-corpus\server.log,gzip-9,50734,3162,16.0449,0.291,0.040,166.10,1221.81,104630,true
bench-corpus\server.log,zstd-3,50734,1613,31.4532,0.238,0.075,202.87,646.84,103081,true
bench-corpus\server.log,brotli-11,50734,1221,41.5512,54.302,0.149,0.89,324.29,102689,true
bench-corpus\server.log,lzma-6,50734,25839,1.9635,1.080,1.248,44.79,38.76,127307,true
bench-corpus\text-repeated.txt,Zstd,45002,79,569.6456,0.201,0.051,213.31,833.34,90083,true
bench-corpus\text-repeated.txt,Brotli,45002,70,642.8857,0.479,0.044,89.60,968.79,90074,true
bench-corpus\text-repeated.txt,Gzip,45002,226,199.1239,0.401,0.048,107.03,901.62,90230,true
bench-corpus\text-repeated.txt,Lzma,45002,45068,0.9985,0.133,0.027,322.44,1601.39,135072,true
bench-corpus\text-repeated.txt,Raw,45002,45014,0.9997,0.102,0.002,418.70,25245.44,135018,true
bench-corpus\text-repeated.txt,gzip-9,45002,214,210.2897,0.192,0.065,223.53,664.35,90218,true
bench-corpus\text-repeated.txt,zstd-3,45002,66,681.8485,0.220,0.064,194.72,668.49,90070,true
bench-corpus\text-repeated.txt,brotli-11,45002,63,714.3175,2.317,0.073,18.52,589.52,90067,true
bench-corpus\text-repeated.txt,lzma-6,45002,22418,2.0074,0.661,0.784,64.97,54.77,112422,true
